Gene	IID	a	b	c	reps	outlier
TSPY	52	38.45744681	37.18085106	35.94414894	3	38.45744681
XKRY	52	2.03	2.05	1.94	3	1.94
DAZ	52	4.12	4.16	4.1	3	4.16
DAZ	53	4.16	3.85	4.05	3	3.85
HSFY	53	1.918433931	2.067699837	2.030995106	3	1.918433931
VCY	53	2.287435456	2.246127367	2.168674699	3	2.168674699
CDY	53	3.694942904	3.841761827	3.841761827	3	3.694942904
XKRY	53	1.95269168	1.938009788	1.886623165	3	1.886623165
BPY	53	3.11	3.034257749	3.034257749	3	3.11
TSPY	53	24.56769984	25.13050571	24.5187602	3	25.13050571
RBMY	53	7.463295269	7.585644372	7.610114192	3	7.463295269
PRY	53	2.04	2.03	2.05	3	2.03
VCY	54	2.107072692	2.151277014	1.959724951	3	1.959724951
HSFY	54	2.12	2.32	2.23	3	2.12
XKRY	54	2	1.96	2.1	3	2.1
CDY	54	4.66	4.77	4.99	3	4.99
RBMY	54	14.3	15.13	14.98	3	14.3
BPY	54	3.22	3.22	3.37	3	3.37
PRY	54	2.12	2.08	2.18	3	2.18
DAZ	54	5.07	5.1	5.23	3	5.23
TSPY	54	29.82	30.22	30.18	3	29.82
PRY	55	2.14	2.22	2.41	3	2.41
VCY	55	2.799331104	2.852842809	3.023411371	3	3.023411371
BPY	55	2.955801105	2.762430939	2.845303867	3	2.955801105
